date,pillar,er_article_count,er_share
2026-05-18,Business & Finance,111322,0.40810475918145894
2026-05-18,Sports & Athletics,55889,0.20488822412364632
2026-05-18,Lifestyle & Wellness,39111,0.14338033125838595
2026-05-18,Science & Technology,29203,0.10705775392443673
2026-05-18,Politics & Civic Life,18861,0.06914413919011064
2026-05-18,Entertainment & Pop Culture,18392,0.06742479232196145
2026-05-19,Business & Finance,116452,0.41020402412218904
2026-05-19,Sports & Athletics,57634,0.2030166826354055
2026-05-19,Lifestyle & Wellness,39891,0.1405166826354055
2026-05-19,Science & Technology,30800,0.10849349039057657
2026-05-19,Politics & Civic Life,20938,0.07375443837006143
2026-05-19,Entertainment & Pop Culture,18173,0.06401468184636194
2026-05-20,Business & Finance,116041,0.41190919901318707
2026-05-20,Sports & Athletics,56592,0.20088387199829616
2026-05-20,Lifestyle & Wellness,39415,0.13991090286282235
2026-05-20,Science & Technology,29966,0.10636991285519053
2026-05-20,Politics & Civic Life,21183,0.0751930142164954
2026-05-20,Entertainment & Pop Culture,18518,0.06573309905400848
2026-05-21,Business & Finance,105884,0.40205042527339
2026-05-21,Sports & Athletics,55051,0.209033262454435
2026-05-21,Lifestyle & Wellness,38121,0.14474863304981775
2026-05-21,Science & Technology,27003,0.10253265492102065
2026-05-21,Entertainment & Pop Culture,18976,0.07205346294046172
2026-05-21,Politics & Civic Life,18325,0.06958156136087484
2026-05-22,Business & Finance,72699,0.37236854236454714
2026-05-22,Sports & Athletics,47645,0.24404048475163137
2026-05-22,Lifestyle & Wellness,28472,0.14583525410533002
2026-05-22,Science & Technology,18120,0.09281170287962137
2026-05-22,Entertainment & Pop Culture,14879,0.07621111076964053
2026-05-22,Politics & Civic Life,13419,0.06873290512922954
2026-05-23,Business & Finance,44634,0.33074226941630663
2026-05-23,Sports & Athletics,40765,0.30207260413038806
2026-05-23,Lifestyle & Wellness,19032,0.14102896606916585
2026-05-23,Science & Technology,10914,0.08087379863802417
2026-05-23,Entertainment & Pop Culture,9843,0.07293758475298441
2026-05-23,Politics & Civic Life,9763,0.07234477699313084
2026-05-24,Business & Finance,56815,0.3585537941131923
2026-05-24,Sports & Athletics,42405,0.26761372242136616
2026-05-24,Lifestyle & Wellness,21764,0.1373504316655728
2026-05-24,Science & Technology,14672,0.09259352754076841
2026-05-24,Politics & Civic Life,11403,0.07196319483011057
2026-05-24,Entertainment & Pop Culture,11397,0.07192532942898976
2026-05-25,Business & Finance,88137,0.3958829289326877
2026-05-25,Sports & Athletics,49134,0.22069405391808977
2026-05-25,Lifestyle & Wellness,30964,0.13908028423331567
2026-05-25,Science & Technology,22766,0.10225751682133008
2026-05-25,Entertainment & Pop Culture,16146,0.07252261559330561
2026-05-25,Politics & Civic Life,15487,0.06956260050127114
2026-05-26,Business & Finance,103707,0.4010681537801119
2026-05-26,Sports & Athletics,55363,0.21410643638065258
2026-05-26,Lifestyle & Wellness,37033,0.1432184610386848
2026-05-26,Science & Technology,26657,0.10309114886474822
2026-05-26,Entertainment & Pop Culture,18145,0.07017252114457202
2026-05-26,Politics & Civic Life,17672,0.06834327879123046
2026-05-27,Business & Finance,132323,0.4059448465009832
2026-05-27,Sports & Athletics,64047,0.19648549068452553
2026-05-27,Lifestyle & Wellness,45690,0.1401692830167841
2026-05-27,Science & Technology,39779,0.12203532302746017
2026-05-27,Entertainment & Pop Culture,23280,0.07141914879909683
2026-05-27,Politics & Civic Life,20844,0.0639459079711501
2026-05-28,Business & Finance,164446,0.4113000850382672
2026-05-28,Sports & Athletics,71795,0.17956830573758192
2026-05-28,Lifestyle & Wellness,54548,0.1364313941273573
2026-05-28,Science & Technology,53006,0.13257465859636836
