date,pillar,article_count,share_of_tracked_publishing
2026-05-18,business_finance,111322,0.4081047591814589
2026-05-18,entertainment,18392,0.0674247923219614
2026-05-18,health_wellness,39111,0.1433803312583859
2026-05-18,politics,18861,0.0691441391901106
2026-05-18,sports,55889,0.2048882241236463
2026-05-18,technology,29203,0.1070577539244367
2026-05-19,business_finance,116452,0.410204024122189
2026-05-19,entertainment,18173,0.0640146818463619
2026-05-19,health_wellness,39891,0.1405166826354055
2026-05-19,politics,20938,0.0737544383700614
2026-05-19,sports,57634,0.2030166826354055
2026-05-19,technology,30800,0.1084934903905765
2026-05-20,business_finance,116041,0.411909199013187
2026-05-20,entertainment,18518,0.0657330990540084
2026-05-20,health_wellness,39415,0.1399109028628223
2026-05-20,politics,21183,0.0751930142164954
2026-05-20,sports,56592,0.2008838719982961
2026-05-20,technology,29966,0.1063699128551905
2026-05-21,business_finance,105884,0.40205042527339
2026-05-21,entertainment,18976,0.0720534629404617
2026-05-21,health_wellness,38121,0.1447486330498177
2026-05-21,politics,18325,0.0695815613608748
2026-05-21,sports,55051,0.209033262454435
2026-05-21,technology,27003,0.1025326549210206
2026-05-22,business_finance,72699,0.3723685423645471
2026-05-22,entertainment,14879,0.0762111107696405
2026-05-22,health_wellness,28472,0.14583525410533
2026-05-22,politics,13419,0.0687329051292295
2026-05-22,sports,47645,0.2440404847516313
2026-05-22,technology,18120,0.0928117028796213
2026-05-23,business_finance,44634,0.3307422694163066
2026-05-23,entertainment,9843,0.0729375847529844
2026-05-23,health_wellness,19032,0.1410289660691658
2026-05-23,politics,9763,0.0723447769931308
2026-05-23,sports,40765,0.302072604130388
2026-05-23,technology,10914,0.0808737986380241
2026-05-24,business_finance,56815,0.3585537941131923
2026-05-24,entertainment,11397,0.0719253294289897
2026-05-24,health_wellness,21764,0.1373504316655728
2026-05-24,politics,11403,0.0719631948301105
2026-05-24,sports,42405,0.2676137224213661
2026-05-24,technology,14672,0.0925935275407684
2026-05-25,business_finance,88137,0.3958829289326877
2026-05-25,entertainment,16146,0.0725226155933056
2026-05-25,health_wellness,30964,0.1390802842333156
2026-05-25,politics,15487,0.0695626005012711
2026-05-25,sports,49134,0.2206940539180897
2026-05-25,technology,22766,0.10225751682133
