date,global_id,zeitgeist_rank,clean_title,source,description,nyt_section,web_url,pillar,gemini_used
2025-01-09,2025-01-09_1,1,Officials aren’t sure how many have died in the Los Angeles fires. Here’s why.,The New York Times,At least five people had been killed as of Thursday morning. Local officials said that number was likely to rise.,U.S.,https://www.nytimes.com/live/2025/01/09/us/california-fires-los-angeles/california-fires-death-toll,Politics & Civic Life,False
2025-01-09,2025-01-09_2,2,Five Who Died in Fire Lived In the Same Neighborhood,The New York Times,At least two dozen people have been reported dead in fires raging across Los Angeles. Five lived near one another in a ravaged Altadena neighborhood.,U.S.,https://www.nytimes.com/article/california-fires-victims.html,Politics & Civic Life,False
2025-01-09,2025-01-09_3,3,Court Rejects Attempt by Fox To Dismiss Defamation Suit,The New York Times,"The complaint, which arose out of Fox News’s promotion of vote-rigging conspiracy theories after the 2020 U.S. presidential election, is on track to proceed to trial.",Business,https://www.nytimes.com/2025/01/09/business/media/fox-smartmatic-lawsuit.html,Business & Finance,False
2025-01-09,2025-01-09_4,4,Residents of Jimmy Carter’s hometown ponder a future without their famous draw.,The New York Times,,U.S.,https://www.nytimes.com/live/2025/us/jimmy-carter-funeral/residents-of-jimmy-carters-hometown-ponder-a-future-without-their-famous-draw,Politics & Civic Life,False
2025-01-09,2025-01-09_5,5,General Managers Fill A Hole in the New Era,The New York Times,"With players being paid and routinely changing schools, universities increasingly need someone besides a coach to put together a team.",Business,https://www.nytimes.com/2025/01/09/business/college-sports-general-managers.html,Business & Finance,False
2025-01-09,2025-01-09_6,6,How to Help Victims of the Southern California Wildfires,The New York Times,"Raging fires have left 24 people dead, destroyed or damaged thousands of homes and other buildings and consumed thousands of acres. Here’s how you can help the victims.",U.S.,https://www.nytimes.com/2025/01/09/us/help-california-la-wildfires-victims.html,Politics & Civic Life,False
2025-01-09,2025-01-09_7,7,Wildfires Will Deepen Housing Shortage in Los Angeles,The New York Times,"With so many people displaced and looking for rentals, the region’s housing options could grow even scarcer and more expensive.",Business,https://www.nytimes.com/2025/01/09/business/la-fires-housing-shortage.html,Business & Finance,False
2025-01-09,2025-01-09_8,8,"Richard M. Cohen, 76, News Producer Who Wrote of His Malady, Dies",The New York Times,"When he was 25, he learned that he had multiple sclerosis. He coped with the disease throughout a long career at several networks, recalled in a best-selling memoir.",Business,https://www.nytimes.com/2025/01/09/business/media/richard-m-cohen-dead.html,Business & Finance,False
2025-01-09,2025-01-09_9,9,Fetterman Accepts Trump’s Invitation to Meet,The New York Times,"The Pennsylvania Democrat is the first senator in his party to announce a meeting with President-elect Donald J. Trump, a sign of the political times as the Republican trifecta is about to begin.",U.S.,https://www.nytimes.com/2025/01/09/us/politics/fetterman-trump-meeting.html,Politics & Civic Life,False
2025-01-09,2025-01-09_10,10,Jimmy Carter’s descendants have largely kept a low profile.,The New York Times,"Other than a few forays into politics, his children and grandchildren have avoided the spotlight that other presidential family members have pursued.",U.S.,https://www.nytimes.com/live/2025/us/jimmy-carter-funeral/jimmy-carters-descendants-have-largely-kept-a-low-profile,Politics & Civic Life,False
2025-01-08,2025-01-08_1,1,Los Angeles-area air traffic remains mostly normal despite the fires.,The New York Times,,U.S.,https://www.nytimes.com/live/2025/01/08/us/california-wildfire-la-palisades/los-angeles-area-air-traffic-remains-mostly-normal-despite-the-fires,Politics & Civic Life,False
2025-01-08,2025-01-08_2,2,Charon;s Journey: How Pluto Lassoed Its Biggest Moon,The New York Times,"Charon is large in size relative to Pluto, and is locked in a tight orbit with the dwarf planet. A new simulation suggests how it ended up there.",Science,https://www.nytimes.com/2025/01/08/science/pluto-moon-kiss-charon.html,Science & Technology,False
2025-01-08,2025-01-08_3,3,Dignified Rituals Before the ‘Hot Mess’ in Washington,The New York Times,Jimmy Carter’s funeral is giving the nation an uncanny week of routine on the eve of political upheaval.,U.S.,https://www.nytimes.com/2025/01/08/us/politics/carter-funeral-rituals-trump-politics.html,Politics & Civic Life,False
2025-01-08,2025-01-08_4,4,Animal Shelters Are Stretched Thin With Displaced Pets,The New York Times,"Some owners fled with their pets, but a network of facilities in the Los Angeles area is straining to care for the hundreds of animals left behind.",U.S.,https://www.nytimes.com/2025/01/08/us/california-fires-pets-animals.html,Politics & Civic Life,False
2025-01-08,2025-01-08_5,5,What is it like when the evacuation alert comes?,The New York Times,,U.S.,https://www.nytimes.com/live/2025/01/09/us/california-fires-los-angeles/what-is-it-like-when-the-evacuation-alert-comes,Politics & Civic Life,False
2025-01-08,2025-01-08_6,6,Here’s how to understand the air quality in Los Angeles right now.,The New York Times,,U.S.,https://www.nytimes.com/live/2025/01/08/us/california-wildfire-la-palisades/california-fires-air-quality,Politics & Civic Life,False
2025-01-08,2025-01-08_7,7,Where California Residents Can Find Updates and Shelter,The New York Times,Here’s where people affected by the wildfires can find the latest information on emergency resources.,U.S.,https://www.nytimes.com/2025/01/08/us/california-fires-evacuation-shelters-updates.html,Politics & Civic Life,False
2025-01-08,2025-01-08_8,8,The health secretary strongly suggests Biden should not pardon Fauci.,The New York Times,"Xavier Becerra, President Biden’s health secretary, said there should be a high bar in the pardon process. Mr. Biden has not ruled out pre-emptive pardons for those targeted by Donald Trump and his allies.",U.S.,https://www.nytimes.com/live/2025/01/08/us/trump-news/the-health-secretary-strongly-suggests-biden-should-not-pardon-fauci,Politics & Civic Life,False
2025-01-08,2025-01-08_9,9,A Reporter Considers How Trends Trickle Down,The New York Times,"Jacob Gallagher, who covers men’s style for The Times, writes about teddy bear jeans, papal robes and all the fashion moments in between.",Times Insider,https://www.nytimes.com/2025/01/08/insider/jacob-gallagher-new-york-times.html,Lifestyle & Wellness,True
2025-01-08,2025-01-08_10,10,President Biden Becomes a Great-Grandfather,The New York Times,"Mr. Biden said his eldest granddaughter, Naomi, gave birth to a baby boy in California.",U.S.,https://www.nytimes.com/2025/01/08/us/president-biden-becomes-a-great-grandfather.html,Politics & Civic Life,False
2025-01-07,2025-01-07_1,1,Trump Picks G.O.P. Judge As Prosecutor In New York,The New York Times,Joseph Nocella Jr. has maintained deep connections in a Republican Party organization that has veered sharply to the right.,New York,https://www.nytimes.com/2025/01/07/nyregion/eastern-district-us-attorney-joseph-nocella.html,Politics & Civic Life,True
2025-01-07,2025-01-07_2,2,"Denying a Handshake to Harris, Senator’s Husband Draws Criticism",The New York Times,"The husband of Senator Deb Fischer, Republican of Nebraska, drew criticism online when he failed to accept a handshake offered by Vice President Kamala D. Harris at his wife’s ceremonial swearing-in.",U.S.,https://www.nytimes.com/2025/01/07/us/politics/deb-fischer-husband-handshake.html,Politics & Civic Life,False
2025-01-07,2025-01-07_3,3,Pittsburgh Man Who Threw an Explosive at University Police Gets 5 Years,The New York Times,"Brian DiPippa was accused of dropping smoke bomb containers at a University of Pittsburgh campus transgender rights protest in 2023. His wife, Krystal DiPippa, was sentenced to probation.",U.S.,https://www.nytimes.com/2025/01/07/us/pittsburgh-protest-officer-injured-couple-sentenced.html,Politics & Civic Life,False
2025-01-07,2025-01-07_4,4,U.S. Makes New Offer for Taliban to Release Americans Held in Afghanistan,The New York Times,"The White House has discussed a possible swap with the Taliban for a prisoner at Guantánamo Bay, according to people familiar with the matter.",U.S.,https://www.nytimes.com/2025/01/07/us/politics/american-hostages-taliban-afghanistan.html,Politics & Civic Life,False
2025-01-07,2025-01-07_5,5,Anthropic Begins Talks That Could Value It at $60 Billion,The New York Times,"The financing efforts follow new funding rounds by Elon Musk’s xAI and the market leader, OpenAI, which is now valued at $157 billion.",Technology,https://www.nytimes.com/2025/01/07/technology/anthropic-ai-funding.html,Science & Technology,False
2025-01-07,2025-01-07_6,6,"‘The Pitt’ Isn’t an ‘ER’ Reboot, Despite First Appearances",The New York Times,"Its creative team includes “ER” alumni, and it is a hospital drama starring Noah Wyle. But it is doing its own thing (and is sometimes very good).",Arts,https://www.nytimes.com/2025/01/07/arts/television/the-pitt-max-er-noah-wyle.html,Entertainment & Pop Culture,False
2025-01-07,2025-01-07_7,7,Assessing the Devastation From Sudan’s Long Civil War,The New York Times,"The United States just formally declared that genocide has taken place in the northeast African nation, but the calamity there dates back decades.",World,https://www.nytimes.com/2025/01/07/world/africa/sudan-genocide-numbers.html,Politics & Civic Life,False
2025-01-07,2025-01-07_8,8,Jimmy Carter’s Funeral: Timing of Thursday’s Events,The New York Times,"There will be two funerals on Thursday, at Washington National Cathedral and Maranatha Baptist Church, where Mr. Carter taught Sunday school for many years.",U.S.,https://www.nytimes.com/2025/01/07/us/politics/jimmy-carter-funeral-time.html,Politics & Civic Life,False
2025-01-07,2025-01-07_9,9,Trump Warns ‘All Hell Will Break Out’ if Hostages in Gaza Are Not Freed,The New York Times,The president-elect did not elaborate on what actions he might take if the captives are not released by the time he takes office.,U.S.,https://www.nytimes.com/2025/01/07/us/politics/trump-hostages-hamas.html,Politics & Civic Life,False
2025-01-07,2025-01-07_10,10,Denmark’s First Shield of Defense,The New York Times,"Before President-elect Donald Trump’s latest remarks, King Frederik X signaled his commitment to the territory in a decidedly old-fashioned way.",Style,https://www.nytimes.com/2025/01/07/style/denmark-coat-of-arms-trump-greenland.html,Entertainment & Pop Culture,False
2025-01-06,2025-01-06_1,1,U.S. Envoy Says Israel Will Withdraw From Southern Lebanon,The New York Times,"With the deadline looming for the terms of a fragile cease-fire between Israel and Hezbollah to be met, an American diplomat on Monday said “much progress” had been made recently.",World,https://www.nytimes.com/2025/01/06/world/middleeast/israel-lebanon-ceasefire-hezbollah-withdraw.html,Politics & Civic Life,False
2025-01-06,2025-01-06_2,2,"New York City’s Overall Crime Rate Fell in ’24, but Felony Assaults Rose",The New York Times,"Killings and shootings have dropped, but headlines have been dominated by terrifying crimes, like the killing of a woman who was burned to death on the F train.",New York,https://www.nytimes.com/2025/01/06/nyregion/nyc-crime-2024.html,Politics & Civic Life,True
2025-01-06,2025-01-06_3,3,Ultimate Fighting Championship Chief Joins Meta,The New York Times,"Mr. White, a close ally of President-elect Donald J. Trump, further strengthens the social media giant’s connections with the incoming administration.",Technology,https://www.nytimes.com/2025/01/06/technology/dana-white-meta-board-ufc.html,Science & Technology,False
2025-01-06,2025-01-06_4,4,Trapped in the Capitol and Bearing Witness to a Day of Violence,The New York Times,"Luke Broadwater was at the Capitol when a pro-Trump mob stormed the complex on Jan. 6, 2021, as Congress was certifying Joseph R. Biden Jr.’s victory. Four years later, he reflects on what has changed.",U.S.,https://www.nytimes.com/2025/01/06/us/politics/trump-capitol-attack-jan-6-reporter.html,Politics & Civic Life,False
2025-01-06,2025-01-06_5,5,"Mike Rinder, 69, Scientology Spokesman Turned Critic",The New York Times,"In a memoir and as a host of the documentary series “Leah Remini: Scientology and the Aftermath,” he accused the church of fostering a culture of abuse.",U.S.,https://www.nytimes.com/2025/01/06/us/mike-rinder-dead-scientology-critic.html,Politics & Civic Life,False
2025-01-06,2025-01-06_6,6,U.S. Eases Some Restrictions on Humanitarian Aid to Syria,The New York Times,The authorization comes after rebels toppled the Syrian government last month and is intended to allow humanitarian groups to operate more freely without running afoul of U.S. sanctions.,U.S.,https://www.nytimes.com/2025/01/06/us/politics/syria-us-sanctions-aid.html,Politics & Civic Life,False
2025-01-06,2025-01-06_7,7,"Mel Shapiro, 89, Honored Stage Director of ‘Two Gentleman,’ Dies",The New York Times,"He worked with the playwright John Guare in mounting his “House of Blue Leaves,” and they helped turn “The Two Gentlemen of Verona” into a hit musical.",Theater,https://www.nytimes.com/2025/01/06/theater/mel-shapiro-dead.html,Entertainment & Pop Culture,False
2025-01-06,2025-01-06_8,8,Congress Certified Trump’s Victory Without Disruption,The New York Times,"Also, Trudeau said he would resign as Canada’s prime minister. Here’s the latest at the end of Monday.",Briefing,https://www.nytimes.com/2025/01/06/briefing/congress-certification-trump-justin-trudeau-canada.html,Politics & Civic Life,True
2025-01-06,2025-01-06_9,9,Winter Storm Snarls Travel in Mid-Atlantic With Snow and Ice,The New York Times,"The storm caused thousands of flights and dozens of train trips to be delayed or canceled. At Ronald Reagan National Airport in Washington, all runways were closed Monday evening.",Travel,https://www.nytimes.com/2025/01/06/travel/snow-winter-storm-flight-delays-trains.html,Lifestyle & Wellness,False
2025-01-06,2025-01-06_10,10,‘Dior Bags’ That Aren’t Meant to Pair Well,The New York Times,"To weigh in on the rash of reported drone sightings without fear of content suppression, Bethenny Frankel borrowed a term from the fashion world.",Style,https://www.nytimes.com/2025/01/06/style/tiktok-dior-bag-bethenny-frankel-drones.html,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_1,1,Go deeper on the six films vying to win best picture in the musical or comedy category.,The New York Times,,Arts,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/nominees-musical-comedy,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_2,2,Go deeper on the dramas that were nominated for best motion picture.,The New York Times,,Arts,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/nominees-drama,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_3,3,Golden Globes Photos: See All the Looks From the Red Carpet,The New York Times,"Stars made their glittering arrival for the 82nd Golden Globes, an awards season opener of sorts that celebrates the biggest stars in film and television.",Style,https://www.nytimes.com/2025/01/05/style/golden-globes-red-carpet-2025-photos.html,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_4,4,The Golden Globe swag bags have no shame.,The New York Times,,Arts,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/the-golden-globe-swag-bags-have-no-shame,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_5,5,Recovered From a Fall,The New York Times,Rena Cohen’s crossword is best solved in pencil.,Gameplay,https://www.nytimes.com/2025/01/05/crosswords/daily-puzzle-2025-01-06.html,Entertainment & Pop Culture,True
2025-01-05,2025-01-05_6,6,The Hollywood Foreign Press Association is gone. Its scandals will live on.,The New York Times,,Arts,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/the-hollywood-foreign-press-association-is-gone-its-scandals-will-live-on,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_7,7,Here’s how to watch the red carpet and the ceremony.,The New York Times,,Movies,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/heres-how-to-watch-the-ceremony-and-the-red-carpet,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_8,8,The Globes have fixed old problems. But now there are new ones.,The New York Times,,Movies,https://www.nytimes.com/live/2025/01/05/arts/golden-globes/the-globes-have-fixed-old-problems-but-now-there-are-new-ones,Entertainment & Pop Culture,False
2025-01-05,2025-01-05_9,9,"Israel Conducts More Airstrikes Near Syrian Capital, U.K. Rights Group Says",The New York Times,"Four weeks after the fall of the Assad regime, Israel is pressing on with a military campaign on Syrian soil.",World,https://www.nytimes.com/2025/01/05/world/middleeast/israel-raids-syria.html,Politics & Civic Life,False
2025-01-05,2025-01-05_10,10,Far-Right Party on Verge of Governing In Austria as Coalition Talks Collapse,The New York Times,"The leader of the anti-immigrant Freedom Party of Austria, founded by former Nazis in the 1950s, was expected to be asked to enter into talks to form a new government.",World,https://www.nytimes.com/2025/01/05/world/europe/austria-coalition-talks-collapse-far-right.html,Politics & Civic Life,False
2025-01-04,2025-01-04_1,1,All Things Change,The New York Times,Kareem Ayas rolls up with a sparkling Sunday puzzle.,Gameplay,https://www.nytimes.com/2025/01/04/crosswords/daily-puzzle-2025-01-05.html,Entertainment & Pop Culture,True
2025-01-04,2025-01-04_2,2,Ralph Lauren Makes Fashion History With Top Civilian Honor,The New York Times,"After decades of being nearly synonymous with American fashion, the 85-year-old became the first fashion designer to receive the Presidential Medal of Freedom.",Style,https://www.nytimes.com/2025/01/04/style/ralph-lauren-presidential-medal-freedom.html,Entertainment & Pop Culture,False
2025-01-04,2025-01-04_3,3,"Tom Johnson, 85, Critic For The Village Voice And a Composer, Dies",The New York Times,He charted the rise of musical minimalism on New York’s downtown scene in the 1970s. He later gained notice for abstract works of his own.,Arts,https://www.nytimes.com/2025/01/04/arts/music/tom-johnson-dead.html,Entertainment & Pop Culture,False
2025-01-04,2025-01-04_4,4,"Jeff Baena, 47, Director and Writer of Dark Comedy Films",The New York Times,"Mr. Baena, who was married to the actress Aubrey Plaza, co-wrote the existential comedy “I Heart Huckabees,” and wrote and directed films including “Life After Beth” and “The Little Hours.”",Arts,https://www.nytimes.com/2025/01/04/arts/jeff-baena-dead.html,Entertainment & Pop Culture,False
2025-01-04,2025-01-04_5,5,A New York Judge Forces Trump to Live With His Disgrace,The New York Times,"There will be no sentence, except for a permanent stain.",Opinion,https://www.nytimes.com/live/2025/01/02/opinion/thepoint/trump-merchan-sentence-trial,Politics & Civic Life,True
2025-01-04,2025-01-04_6,6,Hamas Issues  Hostage Video   Of a Soldier  In Her Teens,The New York Times,"Liri Albag, 19, is one of about 100 hostages believed to remain held in the enclave nearly 15 months after the Hamas-led attacks on Israel.",World,https://www.nytimes.com/2025/01/04/world/middleeast/hamas-israel-gaza-hostage.html,Politics & Civic Life,False
2025-01-04,2025-01-04_7,7,Signs of C.T.E.  Vexed Soldier  In Vegas Blast,The New York Times,A Green Beret who had served several combat tours fatally shot himself in a Cybertruck that exploded outside a Trump hotel on New Year’s Day.,U.S.,https://www.nytimes.com/2025/01/04/us/matthew-livelsberger-las-vegas-cybertruck.html,Politics & Civic Life,False
