date,pillar,article_count,wiki_views,daily_total,daily_views,wiki_share
2024-12-11,Entertainment & Pop Culture,11,2167945,25,4367657,0.4963633820146591
2024-12-11,Politics & Civic Life,9,1503856,25,4367657,0.3443164149565774
2024-12-11,Sports & Athletics,3,348362,25,4367657,0.07975946829158059
2024-12-11,Business & Finance,1,194871,25,4367657,0.044616827740823053
2024-12-11,Lifestyle & Wellness,1,152623,25,4367657,0.03494390699635983
2024-12-12,Entertainment & Pop Culture,11,2041626,25,4269289,0.4782121800608954
2024-12-12,Sports & Athletics,5,983324,25,4269289,0.23032500259410876
2024-12-12,Politics & Civic Life,6,821460,25,4269289,0.19241142963149133
2024-12-12,Science & Technology,1,171609,25,4269289,0.04019615444164122
2024-12-12,Lifestyle & Wellness,1,145209,25,4269289,0.034012455001289445
2024-12-12,Business & Finance,1,106061,25,4269289,0.024842778270573858
2024-12-13,Entertainment & Pop Culture,13,2251202,25,4237047,0.5313139080118772
2024-12-13,Sports & Athletics,6,1225664,25,4237047,0.2892731659573283
2024-12-13,Politics & Civic Life,5,621171,25,4237047,0.14660469898020956
2024-12-13,Lifestyle & Wellness,1,139010,25,4237047,0.032808227050585
2024-12-14,Entertainment & Pop Culture,17,2636840,25,3643382,0.7237341568904935
2024-12-14,Sports & Athletics,2,359381,25,3643382,0.09863939603368518
2024-12-14,Politics & Civic Life,2,227437,25,3643382,0.062424692222775434
2024-12-14,Business & Finance,2,203646,25,3643382,0.055894770298585215
2024-12-14,Lifestyle & Wellness,1,126993,25,3643382,0.03485580156019874
2024-12-14,Science & Technology,1,89085,25,3643382,0.024451182994261925
2024-12-15,Entertainment & Pop Culture,13,2213391,25,3958419,0.5591603617504868
2024-12-15,Sports & Athletics,7,1174145,25,3958419,0.2966196857886949
2024-12-15,Lifestyle & Wellness,2,261033,25,3958419,0.06594375178575082
2024-12-15,Science & Technology,1,111359,25,3958419,0.028132191160157628
2024-12-15,Politics & Civic Life,1,102117,25,3958419,0.02579742063687548
2024-12-15,Business & Finance,1,96374,25,3958419,0.024346588878034387
2024-12-16,Entertainment & Pop Culture,14,2304257,25,3630917,0.6346212265386403
